Date,Open,High,Low,Close,Adj Close,Volume
2019-05-17,205.089996,207.669998,204.770004,204.789993,198.510040,893500
2019-05-20,204.589996,205.330002,202.690002,203.050003,196.823380,1062000
2019-05-21,205.039993,206.779999,202.929993,205.000000,198.713577,1765700
2019-05-22,204.500000,205.419998,203.050003,204.970001,198.684494,865700
2019-05-23,204.130005,206.500000,203.740005,206.210007,199.886475,877200
2019-05-24,202.500000,202.990005,196.270004,198.679993,192.587357,2526800
2019-05-28,198.350006,198.600006,193.339996,194.240005,188.283524,3271700
2019-05-29,193.559998,193.559998,187.580002,188.899994,183.107269,1483300
2019-05-30,188.889999,190.660004,186.089996,187.289993,181.546661,1083400
2019-05-31,175.000000,177.309998,171.270004,176.449997,171.039078,6252400
2019-06-03,177.279999,179.580002,176.559998,177.229996,171.795151,4607900
2019-06-04,181.380005,184.729996,179.800003,184.440002,178.784058,2238700
2019-06-05,185.929993,187.860001,183.779999,187.000000,181.265564,1639600
2019-06-06,185.860001,187.250000,181.740005,184.160004,178.512650,2310100
2019-06-07,185.029999,190.020004,184.699997,188.399994,182.622620,1814800
2019-06-10,194.009995,194.539993,191.449997,191.960007,186.073486,2042300
2019-06-11,192.009995,195.300003,191.809998,194.960007,188.981461,1306800
2019-06-12,195.119995,195.360001,189.119995,189.320007,183.514420,1041100
2019-06-13,189.000000,190.050003,186.750000,189.339996,183.533798,1111400
2019-06-14,189.220001,190.029999,187.539993,187.630005,181.876251,724100
2019-06-17,187.289993,187.880005,186.330002,187.229996,181.488510,789700
2019-06-18,188.570007,188.570007,181.869995,181.970001,176.389801,1848800
2019-06-19,182.750000,184.399994,181.619995,184.320007,178.667755,1391500
2019-06-20,185.550003,188.089996,185.470001,185.740005,180.044205,1029800
2019-06-21,185.350006,185.679993,181.289993,183.729996,178.095840,2121100
2019-06-24,184.000000,184.830002,181.059998,181.259995,175.701553,1607100
2019-06-25,181.759995,184.270004,181.759995,183.899994,178.260620,2273100
2019-06-26,184.320007,185.750000,184.059998,185.020004,179.346298,1183300
2019-06-27,184.820007,189.080002,183.759995,188.210007,182.438446,2091400
2019-06-28,198.619995,200.589996,192.529999,196.940002,190.900757,7415800
2019-07-01,199.000000,200.000000,193.130005,196.089996,190.076813,2526500
2019-07-02,196.070007,198.979996,195.789993,198.660004,192.567993,1172400
2019-07-03,199.100006,200.229996,196.350006,199.899994,193.769958,917100
2019-07-05,198.960007,199.199997,196.360001,197.490005,191.433884,652200
2019-07-08,197.039993,200.250000,196.259995,200.100006,193.963852,1109500
2019-07-09,199.360001,199.589996,194.559998,198.039993,191.967010,2193800
2019-07-10,197.750000,201.929993,197.750000,200.789993,194.632660,1218400
2019-07-11,200.779999,201.889999,196.830002,197.669998,191.608337,970600
2019-07-12,197.889999,201.500000,197.619995,199.600006,193.479172,1213500
2019-07-15,199.710007,199.710007,197.490005,198.589996,192.500153,812400
2019-07-16,199.559998,199.630005,197.089996,197.880005,191.811920,1016800
2019-07-17,198.559998,199.800003,197.770004,199.380005,193.265915,879200
2019-07-18,199.889999,203.160004,199.229996,202.600006,196.387192,823500
2019-07-19,202.449997,204.000000,200.940002,201.570007,195.388779,1029200
2019-07-22,202.169998,203.559998,198.889999,201.169998,195.001007,1073100
2019-07-23,201.149994,203.190002,200.740005,202.289993,196.086670,683600
2019-07-24,201.929993,204.380005,201.320007,204.089996,197.831482,667400
2019-07-25,204.039993,204.649994,201.139999,203.009995,196.784592,638900
2019-07-26,203.750000,205.589996,202.660004,203.919998,197.666702,739700
2019-07-29,204.130005,204.220001,197.270004,199.000000,192.897568,1146800
2019-07-30,197.339996,201.559998,196.419998,200.949997,194.787781,875200
2019-07-31,200.080002,200.520004,194.570007,196.820007,190.784439,884100
2019-08-01,196.669998,198.320007,191.649994,193.600006,187.663147,1366300
2019-08-02,194.309998,195.190002,192.479996,192.740005,186.829544,818800
2019-08-05,190.509995,191.360001,185.869995,186.690002,180.965057,1672300
2019-08-06,189.190002,189.690002,185.509995,187.190002,181.449738,1148300
2019-08-07,185.369995,188.779999,184.300003,188.160004,182.389969,801600
2019-08-08,189.000000,193.369995,187.020004,193.259995,187.333603,850200
2019-08-09,193.300003,196.550003,191.869995,194.149994,188.196304,1091800
2019-08-12,192.820007,194.360001,192.119995,193.050003,187.855743,695000
2019-08-13,192.039993,197.789993,192.000000,196.529999,191.242081,936900
